taxon_code,taxon_scientific_name,taxon_vernacular_name,Taxa_Group_major,Taxa_Group
LPX,Liparidae,Snailfishes nei,Fish,NA
LRD,Laridae,Gulls,Bird,Flying Bird
LVD,Zoarcidae,Eelpouts nei,Fish,NA
LVP,Lycodapus pachysoma,Stout slipskin,Fish,Other
LWY,Lycenchelys antarctica,,Fish,Other
LXX,Myctophidae,Lanternfishes nei,Fish,Mesopelagic
LXY,Lycodapus spp,,Fish,Other
LYA,Ophthalmolycus amberensis,Eelpout,Fish,Other
LYZ,Lycodapus antarcticus,,NA,NA
MAH,Macronectes halli,Hall's giant petrel,Bird,Flying Bird
MAI,Macronectes giganteus,Antarctic giant petrel,Bird,Flying Bird
MAM,Mammalia,Aquatic mammals nei,Marine Mammal,Mammals
MAP,Magnisudis prionosa,Southern barracudina,Fish,Other
MAS,Scomber japonicus,Pacific chub mackerel,Fish,Other
MAX,Scombridae,Mackerels nei,Fish,Other
MBX,Macronectes spp,Giant petrels nei,Bird,Flying Bird
MCC,Macrourus carinatus,Ridge scaled rattail,Fish,Macrouridae
MCH,Macrourus holotrachys,Bigeye grenadier,Fish,Macrouridae
MCK,Coelorinchus kaiyomaru,Campbell whiptail,Fish,Macrouridae
MCM,Coryphaenoides murrayi,Abyssal rattail,Fish,Macrouridae
